Date,Timestamp,Open,High,Low,Close,Volume
20170301,00:00:00,119.533,119.548,119.417,119.437,955.66999566555
20170301,00:05:00,119.443,119.521,119.433,119.505,1061.71999490261
20170301,00:10:00,119.504,119.572,119.487,119.563,1228.61999571323
20170301,00:15:00,119.563,119.563,119.504,119.512,849.659999608994
20170301,00:20:00,119.512,119.544,119.472,119.491,789.119997620583
20170301,00:25:00,119.49,119.523,119.48,119.488,714.229995727539
20170301,00:30:00,119.487,119.53,119.479,119.497,897.90999686718
20170301,00:35:00,119.498,119.531,119.486,119.493,815.539995312691
20170301,00:40:00,119.492,119.535,119.488,119.53,683.409998416901
20170301,00:45:00,119.531,119.548,119.511,119.537,749.949997544289
20170301,00:50:00,119.539,119.563,119.504,119.507,864.71999669075
20170301,00:55:00,119.503,119.523,119.486,119.497,713.409998059273
20170301,01:00:00,119.498,119.546,119.493,119.516,751.669998884201
20170301,01:05:00,119.518,119.58,119.505,119.573,895.260003089905
20170301,01:10:00,119.572,119.615,119.561,119.601,961.569999575615
20170301,01:15:00,119.599,119.65,119.58,119.65,1443.26999628544
20170301,01:20:00,119.649,119.69,119.622,119.66,1111.24999547005
20170301,01:25:00,119.659,119.678,119.646,119.652,762.569998502731
20170301,01:30:00,119.651,119.664,119.628,119.641,921.229997754097
20170301,01:35:00,119.641,119.65,119.55,119.55,1067.9399958849
20170301,01:40:00,119.548,119.562,119.51,119.527,1068.01999390125
20170301,01:45:00,119.526,119.618,119.505,119.505,1270.84999513626
20170301,01:50:00,119.506,119.566,119.504,119.55,1086.89999139309
20170301,01:55:00,119.548,119.576,119.465,119.485,1480.43999314308
20170301,02:00:00,119.488,119.536,119.435,119.48,1395.54999959469
20170301,02:05:00,119.477,119.568,119.47,119.523,1788.14999318123
20170301,02:10:00,119.524,119.623,119.42,119.498,2267.2999984026
20170301,02:15:00,119.498,119.547,119.421,119.474,1972.41999602318
20170301,02:20:00,119.476,119.486,119.37,119.398,2415.83999443054
20170301,02:25:00,119.393,119.453,119.384,119.432,1616.11999773979
20170301,02:30:00,119.433,119.516,119.38,119.493,2148.79998791218
20170301,02:35:00,119.496,119.632,119.484,119.577,1658.20999848843
20170301,02:40:00,119.58,119.587,119.51,119.527,1229.95999610424
20170301,02:45:00,119.527,119.559,119.517,119.538,1268.02999949455
20170301,02:50:00,119.538,119.539,119.449,119.456,1073.06999826431
20170301,02:55:00,119.457,119.521,119.438,119.505,1115.26000130177
20170301,03:00:00,119.505,119.56,119.502,119.554,1084.78999900818
20170301,03:05:00,119.553,119.655,119.498,119.615,1348.9500027895
20170301,03:10:00,119.617,119.617,119.55,119.575,1236.1700001955
20170301,03:15:00,119.577,119.637,119.577,119.607,1310.78999614716
20170301,03:20:00,119.604,119.613,119.564,119.578,1045.92999410629
20170301,03:25:00,119.579,119.616,119.561,119.608,1149.46999692917
20170301,03:30:00,119.611,119.627,119.586,119.601,1141.31999635696
20170301,03:35:00,119.601,119.743,119.598,119.715,1418.76999187469
20170301,03:40:00,119.719,119.776,119.704,119.751,1334.87000000477
20170301,03:45:00,119.751,119.758,119.7,119.741,1022.33999526501
20170301,03:50:00,119.742,119.743,119.704,119.732,964.949991583824
20170301,03:55:00,119.733,119.744,119.699,119.727,895.079994559288
20170301,04:00:00,119.727,119.773,119.716,119.734,861.409997940063
20170301,04:05:00,119.734,119.769,119.734,119.743,788.180002093315
20170301,04:10:00,119.738,119.762,119.724,119.752,761.079997062683
20170301,04:15:00,119.751,119.76,119.712,119.72,686.179995417595
20170301,04:20:00,119.72,119.737,119.711,119.719,978.369996905327
20170301,04:25:00,119.718,119.724,119.698,119.717,576.040004372597
20170301,04:30:00,119.717,119.761,119.717,119.751,996.930000424385
20170301,04:35:00,119.75,119.762,119.729,119.749,650.569997429848
20170301,04:40:00,119.748,119.831,119.734,119.83,784.589997768402
20170301,04:45:00,119.831,119.847,119.813,119.833,800.180000185966
20170301,04:50:00,119.832,119.838,119.813,119.833,634.820001840591
20170301,04:55:00,119.833,119.892,119.833,119.857,1064.91999709606
20170301,05:00:00,119.857,119.86,119.831,119.832,721.679993987083
20170301,05:05:00,119.832,119.856,119.828,119.837,696.539994478226
20170301,05:10:00,119.838,119.845,119.821,119.825,555.859994292259
20170301,05:15:00,119.824,119.85,119.814,119.82,445.199998259544
20170301,05:20:00,119.82,119.846,119.811,119.827,442.949995994568
20170301,05:25:00,119.826,119.836,119.813,119.832,488.399999976158
20170301,05:30:00,119.833,119.833,119.758,119.768,785.619995951653
20170301,05:35:00,119.77,119.789,119.759,119.762,540.399997591972
20170301,05:40:00,119.762,119.765,119.739,119.746,681.109990715981
20170301,05:45:00,119.745,119.769,119.745,119.766,703.099995136261
20170301,05:50:00,119.766,119.77,119.733,119.756,682.570003628731
20170301,05:55:00,119.754,119.76,119.728,119.739,776.899994969368
20170301,06:00:00,119.74,119.757,119.723,119.735,698.549999117851
20170301,06:05:00,119.735,119.739,119.704,119.716,636.609999299049
20170301,06:10:00,119.715,119.731,119.702,119.714,670.689998149872
20170301,06:15:00,119.714,119.752,119.714,119.747,544.890000343323
20170301,06:20:00,119.748,119.801,119.747,119.794,599.200000286102
20170301,06:25:00,119.792,119.797,119.757,119.759,827.399995207787
20170301,06:30:00,119.76,119.79,119.759,119.789,534.649996757507
20170301,06:35:00,119.79,119.795,119.784,119.792,531.029997825623
20170301,06:40:00,119.792,119.831,119.787,119.825,522.119995951653
20170301,06:45:00,119.825,119.833,119.802,119.806,591.140001177788
20170301,06:50:00,119.804,119.815,119.78,119.814,622.610000610352
20170301,06:55:00,119.814,119.837,119.805,119.832,562.209998726845
20170301,07:00:00,119.828,119.836,119.762,119.791,976.6899985075
20170301,07:05:00,119.794,119.833,119.788,119.789,1190.83999752998
20170301,07:10:00,119.787,119.805,119.764,119.785,1094.23000192642
20170301,07:15:00,119.785,119.788,119.716,119.725,1136.49999439716
20170301,07:20:00,119.726,119.781,119.716,119.779,858.319999217987
20170301,07:25:00,119.778,119.778,119.693,119.705,1078.94000005722
20170301,07:30:00,119.704,119.731,119.683,119.714,1210.7799949646
20170301,07:35:00,119.714,119.751,119.707,119.734,943.689999818802
20170301,07:40:00,119.733,119.758,119.692,119.707,1125.61999797821
20170301,07:45:00,119.704,119.736,119.675,119.677,1161.3699952364
20170301,07:50:00,119.678,119.687,119.637,119.66,939.569997429848
20170301,07:55:00,119.66,119.663,119.605,119.616,954.069996714592
20170301,08:00:00,119.618,119.637,119.57,119.595,1428.99999320507
20170301,08:05:00,119.596,119.619,119.57,119.596,1083.71999871731
20170301,08:10:00,119.593,119.655,119.58,119.635,1307.21999621391
20170301,08:15:00,119.639,119.675,119.632,119.64,1378.67999696732
20170301,08:20:00,119.639,119.644,119.588,119.606,1148.02999854088
20170301,08:25:00,119.607,119.62,119.58,119.586,971.530001163483
20170301,08:30:00,119.585,119.593,119.551,119.553,1118.57999801636
20170301,08:35:00,119.552,119.615,119.547,119.597,963.350002169609
20170301,08:40:00,119.599,119.651,119.58,119.645,1051.44000065327
20170301,08:45:00,119.644,119.707,119.63,119.686,962.759996533394
20170301,08:50:00,119.686,119.703,119.649,119.678,754.309998631477
20170301,08:55:00,119.68,119.73,119.674,119.707,922.780000209808
20170301,09:00:00,119.707,119.806,119.707,119.806,1049.70999622345
20170301,09:05:00,119.806,119.824,119.748,119.791,1005.63000333309
20170301,09:10:00,119.791,119.809,119.75,119.778,772.110001087189
20170301,09:15:00,119.778,119.788,119.756,119.772,658.390001177788
20170301,09:20:00,119.771,119.778,119.698,119.71,868.220000386238
20170301,09:25:00,119.71,119.733,119.688,119.707,705.279997825623
20170301,09:30:00,119.707,119.737,119.686,119.696,1144.25999629498
20170301,09:35:00,119.695,119.719,119.649,119.67,960.929998040199
20170301,09:40:00,119.671,119.721,119.669,119.669,1113.02999484539
20170301,09:45:00,119.668,119.753,119.668,119.729,793.439999103546
20170301,09:50:00,119.729,119.736,119.657,119.7,939.54999756813
20170301,09:55:00,119.7,119.711,119.682,119.685,855.830001592636
20170301,10:00:00,119.681,119.709,119.653,119.692,796.059999704361
