日付,始値,高値,安値,終値
2008-12-30,8716.28,8859.56,8702.95,8859.56
2008-12-29,8726.31,8763.67,8638.60,8747.17
2008-12-26,8642.14,8740.76,8611.36,8739.52
2008-12-25,8531.51,8599.50,8531.16,8599.50
2008-12-24,8630.25,8631.83,8476.69,8517.10
2008-12-22,8602.50,8751.18,8593.76,8723.78
2008-12-19,8640.22,8743.22,8570.56,8588.52
2008-12-18,8565.16,8728.36,8534.84,8667.23
2008-12-17,8658.22,8741.24,8425.66,8612.52
2008-12-16,8608.40,8634.26,8471.24,8568.02
2008-12-15,8349.85,8700.17,8349.85,8664.66
2008-12-12,8599.12,8610.73,8087.99,8235.87
2008-12-11,8642.26,8720.55,8519.11,8720.55
2008-12-10,8376.00,8704.92,8376.00,8660.24
2008-12-09,8362.37,8499.60,8314.85,8395.87
2008-12-08,7970.69,8358.27,7959.01,8329.05
2008-12-05,7975.05,8024.33,7908.65,7917.51
2008-12-04,8030.20,8107.69,7849.84,7924.24
2008-12-03,7965.31,8056.38,7889.82,8004.10
2008-12-02,8266.32,8266.32,7863.69,7863.69
2008-12-01,8464.36,8464.36,8307.28,8397.22
2008-11-28,8400.05,8518.13,8336.57,8512.27
2008-11-27,8311.24,8458.68,8300.49,8373.39
2008-11-26,8229.72,8317.83,8149.56,8213.22
2008-11-25,8026.06,8356.83,8025.69,8323.93
2008-11-21,7600.35,7994.68,7406.18,7910.79
2008-11-20,8149.77,8149.79,7703.04,7703.04
2008-11-19,8309.35,8370.09,8115.71,8273.22
2008-11-18,8415.60,8440.41,8302.24,8328.41
2008-11-17,8366.88,8767.98,8218.82,8522.58
2008-11-14,8378.13,8689.85,8378.13,8462.39
2008-11-13,8564.47,8564.47,8148.30,8238.64
2008-11-12,8694.91,8782.48,8574.20,8695.51
2008-11-11,8965.29,9056.31,8704.56,8809.30
2008-11-10,8711.99,9106.29,8711.99,9081.43
2008-11-07,8774.49,8868.10,8266.09,8583.00
2008-11-06,9373.65,9380.30,8806.71,8899.14
2008-11-05,9224.05,9521.24,9216.30,9521.24
2008-11-04,8702.77,9142.29,8699.77,9114.60
2008-10-31,8958.22,9012.31,8576.98,8576.98
2008-10-30,8269.71,9030.85,8269.71,9029.76
2008-10-29,7741.52,8211.90,7741.52,8211.90
2008-10-28,7143.34,7626.42,6994.90,7621.92
2008-10-27,7568.36,7878.97,7141.27,7162.90
2008-10-24,8391.04,8391.04,7647.07,7649.08
