日付,始値,高値,安値,終値
2017-09-11,19441.39,19567.03,19437.14,19545.77
2017-09-08,19297.96,19357.49,19239.52,19274.82
2017-09-07,19433.44,19482.72,19365.75,19396.52
2017-09-06,19286.06,19371.38,19254.67,19357.97
2017-09-05,19533.38,19542.78,19354.59,19385.81
2017-09-04,19615.96,19628.40,19479.40,19508.25
2017-09-01,19733.57,19735.96,19620.07,19691.47
2017-08-31,19591.32,19687.99,19583.11,19646.24
2017-08-30,19480.98,19538.23,19435.10,19506.54
2017-08-29,19319.11,19371.90,19280.02,19362.55
2017-08-28,19502.23,19535.50,19420.50,19449.90
2017-08-25,19401.12,19485.97,19384.37,19452.61
2017-08-24,19366.36,19428.55,19351.92,19353.77
2017-08-23,19547.05,19561.32,19408.47,19434.64
2017-08-22,19373.11,19437.25,19361.95,19383.84
2017-08-21,19509.53,19509.53,19365.65,19393.13
2017-08-18,19471.27,19543.13,19433.09,19470.41
2017-08-17,19707.75,19739.04,19679.37,19702.63
2017-08-16,19750.55,19776.86,19719.08,19729.28
2017-08-15,19689.38,19824.12,19656.91,19753.31
2017-08-14,19545.58,19598.41,19486.48,19537.10
2017-08-10,19792.45,19829.88,19685.83,19729.74
2017-08-09,19928.96,19945.28,19660.22,19738.71
2017-08-08,20062.65,20076.80,19970.57,19996.01
2017-08-07,20059.29,20085.90,20037.40,20055.89
2017-08-04,19949.79,19984.51,19933.59,19952.33
2017-08-03,20066.00,20070.16,19985.40,20029.26
2017-08-02,20057.07,20113.73,20022.05,20080.04
2017-08-01,19907.08,20000.46,19904.72,19985.79
2017-07-31,19933.45,19983.90,19891.90,19925.18
2017-07-28,20048.46,20056.16,19926.60,19959.84
2017-07-27,20026.58,20176.39,20005.20,20079.64
2017-07-26,20098.14,20116.00,20016.58,20050.16
2017-07-25,19979.56,20036.31,19941.61,19955.20
2017-07-24,19973.67,20002.54,19901.88,19975.67
2017-07-21,20089.86,20135.33,20081.91,20099.75
2017-07-20,20046.90,20157.11,20032.23,20144.59
2017-07-19,19970.78,20032.46,19947.26,20020.86
2017-07-18,20074.41,20081.29,19943.14,19999.91
2017-07-14,20157.92,20163.67,20101.71,20118.86
2017-07-13,20177.28,20183.80,20062.27,20099.81
2017-07-12,20137.22,20153.04,20061.16,20098.38
2017-07-11,20073.86,20200.88,20070.67,20195.48
2017-07-10,20070.44,20127.76,20023.03,20080.98
2017-07-07,19856.65,19979.93,19856.65,19929.09
2017-07-06,20061.68,20078.88,19947.63,19994.06
2017-07-05,20015.07,20087.01,19888.90,20081.63
2017-07-04,20192.27,20197.16,19971.53,20032.35
2017-07-03,20056.32,20096.14,20030.61,20055.80
2017-06-30,20025.63,20044.01,19946.51,20033.43
2017-06-29,20260.87,20266.59,20197.38,20220.30
2017-06-28,20149.20,20224.30,20110.49,20130.41
2017-06-27,20229.12,20250.10,20185.19,20225.09
2017-06-26,20132.81,20196.38,20119.04,20153.35
2017-06-23,20152.58,20152.58,20089.54,20132.67
2017-06-22,20154.38,20191.42,20107.89,20110.51
2017-06-21,20192.16,20215.11,20117.79,20138.79
2017-06-20,20234.12,20318.11,20227.29,20230.41
2017-06-19,19974.30,20087.71,19949.88,20067.75
2017-06-16,19931.15,20015.16,19884.80,19943.26
2017-06-15,19815.54,19963.36,19755.34,19831.82
2017-06-14,19974.56,20009.93,19879.60,19883.52
2017-06-13,19859.81,19929.03,19850.86,19898.75
2017-06-12,19920.77,19949.07,19837.64,19908.58
2017-06-09,19953.06,20096.01,19927.07,20013.26
2017-06-08,20048.28,20061.22,19896.35,19909.26
2017-06-07,19951.68,20023.24,19908.07,19984.62
2017-06-06,20122.26,20152.95,19948.02,19979.90
2017-06-05,20135.42,20224.54,20104.13,20170.82
2017-06-02,19970.23,20239.81,19967.00,20177.28
2017-06-01,19692.16,19887.66,19686.32,19860.03
2017-05-31,19630.33,19673.51,19589.25,19650.57
2017-05-30,19681.11,19691.44,19570.13,19677.85
2017-05-29,19697.18,19736.62,19627.19,19682.57
2017-05-26,19798.49,19801.59,19686.49,19686.84
2017-05-25,19737.21,19850.93,19720.12,19813.13
2017-05-24,19777.56,19782.81,19690.10,19742.98
2017-05-23,19647.74,19693.02,19585.54,19613.28
2017-05-22,19670.48,19722.93,19618.73,19678.28
2017-05-19,19591.41,19628.64,19497.29,19590.76
2017-05-18,19556.99,19601.53,19449.73,19553.86
2017-05-17,19806.78,19842.78,19764.63,19814.88
2017-05-16,19953.06,19998.49,19862.41,19919.82
2017-05-15,19753.46,19869.85,19740.63,19869.85
2017-05-12,19941.64,19941.64,19809.91,19883.90
2017-05-11,19943.95,19989.94,19906.35,19961.55
2017-05-10,19890.56,19938.53,19866.30,19900.09
