日付,始値,高値,安値,終値
2007-12-28,15413.37,15413.37,15240.96,15307.78
2007-12-27,15616.41,15628.31,15535.51,15564.69
2007-12-26,15613.96,15653.54,15559.47,15653.54
2007-12-25,15441.33,15583.39,15441.33,15552.59
2007-12-21,15044.35,15275.61,14998.01,15257.00
2007-12-20,15151.37,15161.66,15017.97,15031.60
2007-12-19,15165.09,15267.75,15030.51,15030.51
2007-12-18,15099.20,15301.69,15004.41,15207.86
2007-12-17,15433.30,15508.50,15219.07,15249.79
2007-12-14,15547.19,15697.05,15433.77,15514.51
2007-12-13,15818.48,15833.10,15532.53,15536.52
2007-12-12,15828.65,15963.43,15700.15,15932.26
2007-12-11,16003.09,16075.61,15972.45,16044.72
2007-12-10,16007.33,16017.14,15826.25,15924.39
2007-12-07,15992.24,16107.65,15948.54,15956.37
2007-12-06,15782.40,15898.26,15740.94,15874.08
2007-12-05,15418.95,15621.54,15365.39,15608.88
2007-12-04,15613.89,15683.18,15446.47,15480.19
2007-12-03,15747.47,15799.69,15577.69,15628.97
2007-11-30,15520.53,15751.20,15520.53,15680.67
2007-11-29,15339.61,15555.04,15339.61,15513.74
2007-11-28,15271.14,15280.91,15089.35,15153.78
2007-11-27,14953.93,15312.55,14801.87,15222.85
2007-11-26,14921.57,15295.21,14912.83,15135.21
2007-11-22,14726.62,15000.18,14669.85,14888.77
2007-11-21,15113.83,15154.31,14770.22,14837.66
2007-11-20,14868.98,15222.24,14751.27,15211.52
2007-11-19,15177.17,15302.76,15040.10,15042.56
2007-11-16,15238.73,15238.73,15030.02,15154.61
2007-11-15,15536.35,15587.31,15396.30,15396.30
2007-11-14,15311.38,15504.99,15287.26,15499.56
2007-11-13,15148.16,15235.56,14988.77,15126.63
2007-11-12,15377.37,15386.80,14998.51,15197.09
2007-11-09,15675.48,15834.97,15566.12,15583.42
2007-11-08,15889.03,15891.23,15626.06,15771.57
2007-11-07,16325.18,16326.58,16081.03,16096.68
2007-11-06,16152.58,16353.93,16144.40,16249.63
2007-11-05,16458.14,16458.14,16211.79,16268.92
2007-11-02,16647.40,16654.73,16484.54,16517.48
2007-11-01,16812.90,16887.04,16795.55,16870.40
2007-10-31,16620.59,16738.98,16552.54,16737.63
2007-10-30,16655.31,16682.87,16492.56,16651.01
2007-10-29,16613.30,16774.18,16613.30,16698.08
2007-10-26,16358.61,16505.63,16348.86,16505.63
2007-10-25,16368.02,16438.57,16199.02,16284.17
2007-10-24,16518.00,16578.59,16330.33,16358.39
2007-10-23,16486.71,16554.91,16416.92,16450.58
2007-10-22,16563.57,16563.57,16264.70,16438.47
2007-10-19,16965.00,16965.00,16711.57,16814.37
2007-10-18,16974.69,17147.73,16974.69,17106.09
2007-10-17,17114.20,17114.20,16795.74,16955.31
2007-10-16,17267.07,17283.05,17104.20,17137.92
2007-10-15,17399.67,17430.09,17292.13,17358.15
2007-10-12,17417.94,17441.75,17280.60,17331.17
2007-10-11,17188.81,17488.97,17154.75,17458.98
2007-10-10,17231.14,17254.52,17146.39,17177.89
2007-10-09,17166.17,17237.40,17133.52,17159.90
2007-10-05,17070.61,17144.35,17032.75,17065.04
2007-10-04,17085.32,17160.47,17043.76,17092.49
2007-10-03,17066.14,17205.42,17017.77,17199.89
2007-10-02,17027.92,17072.67,16986.38,17046.78
2007-10-01,16773.10,16899.84,16685.80,16845.96
2007-09-28,16903.64,16929.26,16755.21,16785.69
2007-09-27,16551.94,16868.94,16551.94,16832.22
2007-09-26,16388.51,16457.72,16388.51,16435.74
2007-09-25,16317.19,16434.80,16240.26,16401.73
2007-09-21,16284.43,16353.97,16245.94,16312.61
2007-09-20,16474.66,16491.45,16344.28,16413.79
2007-09-19,16038.12,16386.17,16038.12,16381.54
2007-09-18,16037.49,16037.49,15780.90,15801.80
2007-09-14,15895.05,16142.08,15877.09,16127.42
2007-09-13,15886.76,15931.09,15802.36,15821.19
2007-09-12,15978.78,16032.26,15731.32,15797.60
2007-09-11,15787.86,15940.38,15610.65,15877.67
2007-09-10,15906.52,15906.52,15651.83,15764.97
2007-09-07,16179.78,16230.58,16027.93,16122.16
2007-09-06,16003.88,16257.00,15840.05,16257.00
2007-09-05,16506.11,16553.22,16154.90,16158.45
2007-09-04,16445.73,16511.64,16392.21,16420.47
2007-09-03,16511.07,16575.97,16452.74,16524.93
2007-08-31,16270.99,16569.09,16266.23,16569.09
2007-08-30,16182.09,16269.66,16091.28,16153.82
2007-08-29,16068.10,16068.10,15830.28,16012.83
2007-08-28,16214.09,16343.28,16192.84,16287.49
2007-08-27,16429.01,16504.72,16263.95,16301.39
2007-08-24,16286.01,16329.96,16188.08,16248.97
2007-08-23,16093.82,16333.36,16093.82,16316.32
2007-08-22,15866.60,15957.96,15787.96,15900.64
2007-08-21,15773.86,16101.64,15754.51,15901.34
2007-08-20,15477.26,15940.61,15477.26,15732.48
